sku,month,actual,pred_sarima_all,pred_sarima_same,pred_linear_all,pred_linear_same
7008,2022-01,2.0,1,,1.0,
7008,2022-02,1.0,1,,1.0,
7008,2022-03,0.0,1,,1.0,
7008,2022-04,2.0,1,,1.0,
7008,2022-05,0.0,1,,1.0,
7008,2022-06,1.0,1,,0.0,
7008,2022-07,0.0,1,,1.0,
7008,2022-08,0.0,1,,1.0,
7008,2022-09,1.0,1,1.0,1.0,1.0
7008,2022-10,1.0,1,0.0,2.0,0.0
7008,2022-11,1.0,1,,2.0,1.0
7008,2022-12,0.0,1,9.0,3.0,11.0
7008,2023-01,1.0,0,2.0,0.0,3.0
7008,2023-02,1.0,0,2.0,0.0,2.0
7008,2023-03,0.0,0,0.0,0.0,1.0
7008,2023-04,0.0,0,4.0,0.0,3.0
7008,2023-05,0.0,0,2.0,0.0,5.0
7008,2023-06,0.0,0,2.0,0.0,1.0
7008,2023-07,0.0,0,5.0,0.0,4.0
7008,2023-08,0.0,0,0.0,0.0,5.0
7008,2023-09,0.0,0,1.0,0.0,0.0
7008,2023-10,0.0,0,,0.0,1.0
7008,2023-11,0.0,0,1.0,1.0,0.0
7008,2023-12,0.0,0,0.0,1.0,18.0
7008,2024-01,0.0,0,2.0,0.0,3.0
7008,2024-02,0.0,0,2.0,0.0,1.0
7008,2024-03,0.0,0,1.0,0.0,4.0
7008,2024-04,0.0,0,3.0,0.0,7.0
7008,2024-05,0.0,0,,0.0,3.0
7008,2024-06,0.0,0,0.0,0.0,0.0
7008,2024-07,0.0,0,1.0,0.0,4.0
7008,2024-08,0.0,0,0.0,0.0,3.0
7008,2024-09,0.0,0,1.0,0.0,0.0
7008,2024-10,0.0,0,0.0,0.0,1.0
7008,2024-11,0.0,0,0.0,1.0,1.0
7008,2024-12,1.0,0,2.0,1.0,1.0
5937,2022-01,45.0,47,,14.0,101.0
5937,2022-02,45.0,47,69.0,21.0,116.0
5937,2022-03,59.0,47,48.0,21.0,36.0
5937,2022-04,70.0,47,69.0,28.0,102.0
5937,2022-05,70.0,47,91.0,28.0,107.0
5937,2022-06,48.0,47,72.0,34.0,109.0
5937,2022-07,45.0,47,,36.0,100.0
5937,2022-08,64.0,47,,37.0,66.0
5937,2022-09,56.0,47,54.0,46.0,80.0
5937,2022-10,49.0,47,,46.0,86.0
5937,2022-11,52.0,47,79.0,49.0,129.0
5937,2022-12,91.0,47,94.0,52.0,177.0
5937,2023-01,45.0,43,,5.0,44.0
5937,2023-02,40.0,43,,17.0,158.0
5937,2023-03,59.0,43,101.0,25.0,22.0
5937,2023-04,55.0,43,,30.0,64.0
5937,2023-05,46.0,43,,34.0,112.0
5937,2023-06,35.0,43,,39.0,101.0
5937,2023-07,44.0,43,45.0,37.0,0.0
5937,2023-08,79.0,43,56.0,34.0,59.0
5937,2023-09,45.0,43,61.0,36.0,101.0
5937,2023-10,46.0,43,63.0,38.0,107.0
5937,2023-11,35.0,43,84.0,44.0,47.0
5937,2023-12,34.0,43,91.0,50.0,91.0
5937,2024-01,39.0,0,49.0,1.0,46.0
5937,2024-02,14.0,0,44.0,10.0,52.0
5937,2024-03,38.0,0,73.0,17.0,195.0
5937,2024-04,49.0,0,66.0,22.0,61.0
5937,2024-05,42.0,0,70.0,28.0,130.0
5937,2024-06,3.0,0,46.0,31.0,163.0
5937,2024-07,35.0,0,52.0,28.0,50.0
5937,2024-08,52.0,0,97.0,25.0,80.0
5937,2024-09,26.0,0,51.0,28.0,58.0
5937,2024-10,73.0,0,59.0,29.0,61.0
5937,2024-11,154.0,0,57.0,34.0,32.0
5937,2024-12,78.0,0,47.0,41.0,46.0
5822,2022-01,46.0,53,37.0,98.0,37.0
5822,2022-02,37.0,53,41.0,93.0,40.0
5822,2022-03,52.0,53,139.0,102.0,202.0
5822,2022-04,61.0,53,10.0,83.0,0.0
5822,2022-05,33.0,53,0.0,89.0,0.0
5822,2022-06,11.0,53,18.0,99.0,6.0
5822,2022-07,5.0,53,73.0,115.0,1.0
5822,2022-08,19.0,53,72.0,123.0,0.0
5822,2022-09,30.0,53,44.0,125.0,0.0
5822,2022-10,52.0,53,57.0,125.0,42.0
5822,2022-11,33.0,53,,130.0,202.0
5822,2022-12,50.0,53,,123.0,0.0
5822,2023-01,32.0,28,,40.0,32.0
5822,2023-02,27.0,28,37.0,36.0,36.0
5822,2023-03,36.0,28,52.0,36.0,202.0
5822,2023-04,32.0,28,,36.0,0.0
5822,2023-05,49.0,28,,40.0,0.0
5822,2023-06,22.0,28,,47.0,52.0
5822,2023-07,20.0,28,0.0,54.0,0.0
5822,2023-08,39.0,28,29.0,63.0,91.0
5822,2023-09,37.0,28,31.0,70.0,94.0
5822,2023-10,53.0,28,59.0,71.0,54.0
5822,2023-11,31.0,28,76.0,69.0,62.0
5822,2023-12,39.0,28,46.0,67.0,95.0
5822,2024-01,26.0,27,33.0,36.0,44.0
5822,2024-02,28.0,27,25.0,32.0,15.0
5822,2024-03,24.0,27,42.0,33.0,84.0
5822,2024-04,33.0,27,35.0,31.0,0.0
5822,2024-05,33.0,27,36.0,38.0,9.0
5822,2024-06,30.0,27,19.0,42.0,21.0
5822,2024-07,27.0,27,24.0,47.0,143.0
5822,2024-08,35.0,27,40.0,57.0,85.0
5822,2024-09,46.0,27,35.0,62.0,50.0
5822,2024-10,70.0,27,52.0,64.0,59.0
5822,2024-11,62.0,27,40.0,61.0,148.0
5822,2024-12,67.0,27,34.0,59.0,38.0
6218,2022-01,49.0,36,2.0,66.0,41.0
6218,2022-02,53.0,36,61.0,67.0,126.0
6218,2022-03,68.0,36,,49.0,0.0
6218,2022-04,53.0,36,64.0,93.0,106.0
6218,2022-05,42.0,36,85.0,83.0,111.0
6218,2022-06,45.0,36,66.0,85.0,49.0
6218,2022-07,41.0,36,,99.0,134.0
6218,2022-08,59.0,36,,98.0,35.0
6218,2022-09,49.0,36,76.0,96.0,55.0
6218,2022-10,69.0,36,100.0,119.0,96.0
6218,2022-11,58.0,36,128.0,100.0,33.0
6218,2022-12,57.0,36,,114.0,84.0
6218,2023-01,37.0,19,42.0,23.0,97.0
6218,2023-02,38.0,19,24.0,27.0,126.0
6218,2023-03,44.0,19,62.0,29.0,162.0
6218,2023-04,49.0,19,,54.0,67.0
6218,2023-05,54.0,19,,56.0,77.0
6218,2023-06,29.0,19,49.0,54.0,49.0
6218,2023-07,58.0,19,119.0,71.0,194.0
6218,2023-08,42.0,19,74.0,63.0,111.0
6218,2023-09,23.0,19,69.0,60.0,147.0
