sku,month,actual,pred_sarima_all,pred_sarima_same,pred_linear_all,pred_linear_same,pred_sarimax_all,pred_sarimax_same,pred_productivo
7011,2022-01,0.0,0,,0.0,,0.0,,0.0
7011,2022-02,0.0,0,,0.0,,0.0,,0.0
7011,2022-03,0.0,0,,0.0,,0.0,,0.0
7011,2022-04,0.0,0,,0.0,,0.0,,0.0
7011,2022-05,0.0,0,,0.0,,0.0,,0.0
7011,2022-06,2.0,0,0.0,0.0,88.0,0.0,10.0,0.0
5937,2022-01,45.0,38,,10.0,101.0,7.0,,38.0
5937,2022-02,45.0,38,69.0,16.0,116.0,7.0,73.0,42.0
5937,2022-03,59.0,38,48.0,15.0,36.0,7.0,,55.0
5937,2022-04,70.0,38,69.0,24.0,102.0,7.0,72.0,50.0
5937,2022-05,70.0,38,91.0,24.0,107.0,7.0,88.0,78.0
5937,2022-06,48.0,38,72.0,29.0,109.0,7.0,69.0,61.0
5937,2022-07,44.0,38,,32.0,100.0,7.0,81.0,70.0
5937,2022-08,64.0,38,,33.0,66.0,7.0,,79.0
5937,2022-09,56.0,38,54.0,41.0,80.0,7.0,,58.0
5937,2022-10,49.0,38,,42.0,86.0,7.0,,65.0
5937,2022-11,52.0,38,79.0,43.0,129.0,7.0,97.0,77.0
5937,2022-12,91.0,38,82.0,47.0,236.0,7.0,,87.0
5937,2023-01,42.0,47,,8.0,44.0,32.0,,47.0
5937,2023-02,37.0,47,,19.0,158.0,32.0,,54.0
5937,2023-03,57.0,47,101.0,28.0,22.0,32.0,,65.0
5937,2023-04,55.0,47,,32.0,64.0,32.0,,66.0
5937,2023-05,45.0,47,,37.0,112.0,32.0,,87.0
5937,2023-06,35.0,47,,41.0,101.0,32.0,,70.0
5937,2023-07,44.0,47,44.0,40.0,0.0,32.0,,76.0
5937,2023-08,77.0,47,56.0,37.0,59.0,32.0,22.0,84.0
5937,2023-09,43.0,47,61.0,39.0,101.0,32.0,30.0,70.0
5937,2023-10,46.0,47,63.0,41.0,107.0,32.0,0.0,74.0
5937,2023-11,34.0,47,84.0,46.0,47.0,32.0,79.0,85.0
5937,2023-12,32.0,47,86.0,50.0,86.0,32.0,64.0,98.0
5937,2024-01,37.0,0,48.0,0.0,44.0,0.0,,0.0
5937,2024-02,13.0,0,41.0,10.0,50.0,0.0,0.0,0.0
5937,2024-03,38.0,0,74.0,16.0,204.0,0.0,39.0,10.0
5937,2024-04,49.0,0,66.0,22.0,61.0,0.0,71.0,9.0
5937,2024-05,42.0,0,69.0,27.0,130.0,0.0,96.0,24.0
5937,2024-06,3.0,0,46.0,30.0,163.0,0.0,77.0,8.0
5937,2024-07,32.0,0,52.0,28.0,51.0,0.0,52.0,14.0
5937,2024-08,52.0,0,94.0,23.0,78.0,0.0,92.0,29.0
5937,2024-09,26.0,0,50.0,27.0,57.0,0.0,45.0,10.0
5937,2024-10,73.0,0,59.0,28.0,61.0,0.0,49.0,13.0
5937,2024-11,112.0,0,56.0,33.0,31.0,0.0,51.0,19.0
5937,2024-12,77.0,0,55.0,40.0,63.0,0.0,34.0,31.0
5822,2022-01,46.0,53,37.0,98.0,37.0,52.0,112.0,53.0
5822,2022-02,37.0,53,41.0,93.0,40.0,52.0,,50.0
5822,2022-03,49.0,53,139.0,102.0,202.0,52.0,91.0,94.0
5822,2022-04,61.0,53,10.0,83.0,0.0,52.0,,23.0
5822,2022-05,33.0,53,0.0,89.0,0.0,52.0,,20.0
5822,2022-06,11.0,53,18.0,99.0,6.0,52.0,22.0,25.0
5822,2022-07,5.0,53,73.0,115.0,1.0,52.0,7.0,77.0
5822,2022-08,19.0,53,72.0,123.0,0.0,52.0,,85.0
5822,2022-09,30.0,53,44.0,125.0,0.0,52.0,,64.0
5822,2022-10,52.0,53,57.0,125.0,42.0,52.0,,74.0
5822,2022-11,31.0,53,,130.0,202.0,52.0,,100.0
5822,2022-12,48.0,53,,123.0,0.0,52.0,,88.0
5822,2023-01,32.0,27,,39.0,32.0,36.0,,27.0
5822,2023-02,26.0,27,37.0,35.0,36.0,36.0,,24.0
5822,2023-03,36.0,27,49.0,34.0,202.0,36.0,,38.0
5822,2023-04,32.0,27,,34.0,0.0,36.0,,27.0
5822,2023-05,49.0,27,,38.0,0.0,36.0,,17.0
5822,2023-06,22.0,27,,46.0,52.0,36.0,,10.0
5822,2023-07,20.0,27,0.0,52.0,0.0,36.0,52.0,25.0
5822,2023-08,38.0,27,29.0,62.0,91.0,36.0,0.0,37.0
