sku,total_forecast_12_months,avg_monthly_forecast,std_dev,min_monthly_forecast,max_monthly_forecast,months_forecasted
1000,54,4.5,7.65,0,19,12
16012,44,3.67,2.74,0,8,12
16014,27,2.25,2.05,0,7,12
16016,42,3.5,1.17,2,5,12
16017,8,0.67,0.65,0,2,12
16081,45,3.75,3.67,0,10,12
16082,47,3.92,6.52,0,19,12
16084,2,0.17,0.39,0,1,12
16086,220,18.33,63.19,0,219,12
16087,25,2.08,7.22,0,25,12
16088,12,1.0,1.86,0,5,12
16090,30,2.5,4.17,0,12,12
16092,41,3.42,4.91,0,14,12
16148,38,3.17,2.29,0,8,12
16149,13,1.08,1.56,0,5,12
16150,34,2.83,2.21,0,6,12
16151,38,3.17,4.32,0,14,12
16887,261,21.75,14.99,4,61,12
3426470260725,2,0.17,0.39,0,1,12
5051,36,3.0,2.09,0,6,12
5057,56,4.67,6.18,0,20,12
5058,31,2.58,2.71,1,11,12
5059,8,0.67,0.65,0,2,12
5060,5,0.42,0.9,0,3,12
5063,10,0.83,1.47,0,5,12
5064,3,0.25,0.62,0,2,12
5658,7,0.58,0.9,0,3,12
57991,81,6.75,3.84,0,12,12
58011,73,6.08,2.31,2,10,12
58021,244,20.33,7.56,11,38,12
58031,172,14.33,4.36,7,24,12
58051,167,13.92,5.38,8,25,12
58061,190,15.83,2.86,9,20,12
5807,261,21.75,9.35,11,42,12
58091,552,46.0,9.6,33,65,12
5810,13,1.08,2.94,0,10,12
5811,198,16.5,6.45,8,27,12
5812,222,18.5,5.35,10,28,12
5813,375,31.25,9.79,16,54,12
5814,532,44.33,21.97,24,96,12
5815,72,6.0,10.78,0,36,12
5816,1560,130.0,18.36,107,161,12
5817,237,19.75,13.03,7,51,12
5818,185,15.42,4.83,9,24,12
5819,670,55.83,21.48,31,99,12
5820,256,21.33,26.23,0,77,12
5821,124,10.33,19.27,0,50,12
5822,507,42.25,9.68,25,58,12
5823,383,31.92,6.89,25,44,12
5825,49,4.08,2.64,1,11,12
5826,104,8.67,7.64,0,20,12
5827,109,9.08,4.94,2,19,12
5828,320,26.67,8.99,12,40,12
5829,47,3.92,3.73,0,10,12
5830,74,6.17,5.13,0,18,12
5831,99,8.25,2.45,3,12,12
5832,307,25.58,8.63,9,40,12
5833,633,52.75,12.79,32,70,12
5834,148,12.33,5.76,5,23,12
5835,37,3.08,3.15,0,8,12
5836,132,11.0,5.49,5,25,12
5837,345,28.75,3.36,21,33,12
5838,79,6.58,2.68,3,12,12
5839,167,13.92,5.96,7,26,12
5840,684,57.0,11.98,37,73,12
5842,131,10.92,7.98,0,25,12
5843,125,10.42,3.73,6,20,12
5844,201,16.75,6.55,5,29,12
5845,287,23.92,5.16,12,33,12
5846,907,75.58,17.41,53,107,12
5847,465,38.75,10.94,16,57,12
5848,682,56.83,11.91,35,77,12
5849,452,37.67,11.55,23,69,12
5850,300,25.0,14.34,10,64,12
5851,1483,123.58,27.87,78,177,12
58511,285,23.75,8.01,17,47,12
5852,260,21.67,5.77,13,31,12
5855,241,20.08,6.92,10,32,12
5856,359,29.92,5.66,22,37,12
5857,456,38.0,8.67,21,52,12
5858,586,48.83,10.84,28,62,12
5859,546,45.5,16.25,17,66,12
5860,760,63.33,16.96,38,106,12
5861,79,6.58,4.7,3,17,12
5862,188,15.67,5.57,6,26,12
5863,581,48.42,10.17,35,66,12
5864,528,44.0,7.87,32,61,12
5866,521,43.42,10.54,30,61,12
5867,3,0.25,0.45,0,1,12
5868,156,13.0,3.02,7,19,12
5870,430,35.83,13.94,14,63,12
5872,209,17.42,4.81,11,26,12
5873,204,17.0,7.29,4,31,12
5874,324,27.0,10.48,11,45,12
5877,58,4.83,1.27,3,7,12
5879,252,21.0,9.55,9,43,12
5880,219,18.25,4.77,8,27,12
5881,284,23.67,5.84,15,34,12
5882,54,4.5,3.66,1,13,12
5883,212,17.67,3.55,12,25,12
5885,483,40.25,10.45,26,66,12
5886,121,10.08,2.94,6,17,12
5887,658,54.83,8.68,43,73,12
5889,614,51.17,7.48,38,64,12
5890,167,13.92,3.42,9,20,12
5891,95,7.92,2.91,4,12,12
5892,637,53.08,11.8,29,72,12
5893,275,22.92,6.04,13,32,12
5894,171,14.25,3.72,9,20,12
5895,457,38.08,6.26,29,52,12
5896,39,3.25,1.06,1,5,12
