sku,product_name,forecast,current_sales,inventory,production_needed,priority
8053,Envase desodorante push kraft - 5 Unidades,70.0,0.0,0.0,70.0,MEDIA
8093,Botella Atomizador de Gatillo PET Ambar 250 ml - 1 Unidad,32.0,0.0,0.0,32.0,MEDIA
6038,Envase PET 250 mL Transparente Gatillo - 1 Unidad,25.0,0.0,0.0,25.0,MEDIA
58511,Base Shampoo Sólido Pre Cortada - 1 Kg,13.0,0.0,0.0,13.0,BAJA
9112,"Mechas para vela con núcleo de algodón - 6 cm, 10 Unidades",13.0,0.0,0.0,13.0,BAJA
58091,Mica Oro - 8 gr,33.0,2.0,18.0,13.0,BAJA
609227,Molde Silicona Maravilla Grande,13.0,0.0,0.0,13.0,BAJA
8044,Difusor de aromas con varitas 50ml - 1 Unidad,22.0,0.0,11.0,11.0,BAJA
6505,Sabor Aromático Algodón de Azúcar - 15 ml,11.0,0.0,0.0,11.0,BAJA
6887,"Envase Botella Ambar con Gotario 30 ml - 1 Unidad, Con Precinto",10.0,0.0,0.0,10.0,BAJA
6137,Aceite de Nuez - 500 ml,11.0,0.0,2.0,9.0,BAJA
8102,Molde Silicona Disco Redondo 8 cavidades 60 grs. aprox,8.0,0.0,0.0,8.0,BAJA
6142,Cesta ovalada 18 cm - 1 Unidad,8.0,0.0,0.0,8.0,BAJA
6106,Molde silicona panal de abeja Hexagono 60 gr aprox,6.0,0.0,0.0,6.0,BAJA
8023,Molde Silicona Discos 6 cavidades 70 grs,6.0,0.0,1.0,5.0,BAJA
645506,Molde Silicona Individual Corazon y Rosas,4.0,0.0,0.0,4.0,BAJA
7353,PT - Esencias 1L - Sandia,3.0,0.0,0.0,3.0,BAJA
6031,Pote Negro para Cremas y Exfoliantes 120ml - 1 Unidad,3.0,0.0,0.0,3.0,BAJA
6276,Glicerina Liquida Vegetal USP - 5 Litros,5.0,0.0,2.0,3.0,BAJA
6025,Pote Crema Vidrio Ambar 30ml Tapa Negra (copiar) - 1 Unidad,3.0,0.0,0.0,3.0,BAJA
5969,Base Jabón de Glicerina Stephenson Leche de Cabra - 1 Kg,3.0,0.0,0.0,3.0,BAJA
8052,Envase desodorante push kraft - 1 Unidad,3.0,0.0,0.0,3.0,BAJA
6175,Hidróxido de Sodio (Soda Cáustica) - 1 Kg,3.0,0.0,0.0,3.0,BAJA
6992,Envase Pote Crema Recto Ambar 20 ML - 1 Unidad,3.0,0.0,0.0,3.0,BAJA
5820,Base Jabón de Glicerina Stephenson Crystal - 1 kg,3.0,0.0,0.0,3.0,BAJA
7212,SCS (Sodium Coco Sulfate) - 250 gr,4.0,0.0,1.0,3.0,BAJA
9107,"Mechas para vela con núcleo de algodón - 10 cm, 10 Unidades",3.0,0.0,0.0,3.0,BAJA
6648,Jabón Artesanal Glicerina - Afrecho 100 Gr - 1 Unidad,2.0,0.0,0.0,2.0,BAJA
6984,Cera Candelilla - 500 gr,2.0,0.0,0.0,2.0,BAJA
609290,Molde Silicona Arbol de Navidad aprox. 60 gramos,2.0,0.0,0.0,2.0,BAJA
8011,Molde Transparente J051 Media Esfera Pequeña,2.0,0.0,0.0,2.0,BAJA
8036,Aceite de Semillas de Tomate - 100 ml,4.0,0.0,2.0,2.0,BAJA
6926,PT - Equipamiento - Cintas medidoras PH - 100 U,2.0,0.0,0.0,2.0,BAJA
609203,Molde silicona Navidad Arboles y Gorros,2.0,0.0,0.0,2.0,BAJA
7401,Aceite Esencial Alcanfor 10ml - Ámbar,4.0,1.0,1.0,2.0,BAJA
9010,Esencia para Velas Blend Mensaje de Amor - 100 ml,1.0,0.0,0.0,1.0,BAJA
6950,Arcilla Roja - 1 Kg,3.0,0.0,2.0,1.0,BAJA
6966,Pote Acrílico 25ml transparente - 5 Unidades,1.0,0.0,0.0,1.0,BAJA
609208,Molde Silicona Media Esfera aprox. 35 gramos,1.0,0.0,0.0,1.0,BAJA
1000,Envase vidrio transparente 50 mm 120 gr - Color Plateado,1.0,0.0,0.0,1.0,BAJA
6190,"Atomizador negro, botella vidrio Ambar 60 ml - 1 Unidad, Blanco",1.0,0.0,0.0,1.0,BAJA
9123,Envase Atomizador Gatillo Vidrio Ambar - 250 ml,1.0,0.0,0.0,1.0,BAJA
5829,Base de Jabón - Base Batida - 1 Kg,1.0,0.0,0.0,1.0,BAJA
9102,Mecha para vela de cañamo orgánico - Amarillo,1.0,0.0,0.0,1.0,BAJA
6145,Olivem 1000 - 100 gr,17.0,0.0,16.0,1.0,BAJA
7227,Aceite de Ricino - 5 Litros,3.0,0.0,2.0,1.0,BAJA
7002,Goma Guar - 500 gr,2.0,0.0,1.0,1.0,BAJA
6243,Olivem 1000 - 500 gr,3.0,0.0,2.0,1.0,BAJA
6339,Esencia de Uva - 100 ml,8.0,0.0,7.0,1.0,BAJA
6188,Cortador ondulado,1.0,0.0,0.0,1.0,BAJA
6043,Botella de Vidrio Cuadrada Tapa Corcho 250 ml - 40 Unidades,1.0,0.0,0.0,1.0,BAJA
6453,Docena Bolsas Organza color Crudo - B-14,1.0,0.0,0.0,1.0,BAJA
6466,Extracto de Limón - 30 ml,3.0,0.0,2.0,1.0,BAJA
6517,Esencia de Cherry - 100 ml,8.0,0.0,7.0,1.0,BAJA
5058,Molde silicona para vela burbuja 4 Cavidad,1.0,0.0,0.0,1.0,BAJA
